id,type,type_code,type_code_value
72030,notification_frequency,Daily,Daily
72031,notification_frequency,Sunday,Sunday
72032,notification_frequency,Monday,Monday
72033,notification_frequency,Tuesday,Tuesday
72034,notification_frequency,Wednesday,Wednesday
72035,notification_frequency,Thursday,Thursday
72036,notification_frequency,Friday,Friday
72037,notification_frequency,Saturday,Saturday
